Loan_ID,Gender,Married,Dependents,Education,Employment_Sector,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Credit_Score,State,Bumi_Status,LPPSA_Eligible,Property_Type,Margin,Financing_Type,Interest_Rate,DSR,NDI,Years_Employed,Loan_Status
LPtest0000,Male,Yes,1,Graduate,Private,4294,2887,519876.0,360,1.0,Rural,751,Penang,Yes,No,Townhouse,90,Conventional,4.51,56.39,3780.03,4,Y
LPtest0001,Male,No,1,Graduate,Private,10106,0,358111.01696969697,360,1.0,Urban,681,Selangor,Yes,No,Apartment,90,Conventional,4.21,93.02,1714.27,13,N
LPtest0002,Male,No,0,Graduate,Private,6525,0,314711.0,360,1.0,Rural,826,Penang,Yes,No,Terrace,90,Islamic,4.72,47.72,3764.57,15,Y
LPtest0003,Male,No,1,Graduate,Private,7301,0,382497.0,360,1.0,Urban,662,Selangor,Yes,No,Condominium,90,Conventional,4.29,81.21,1898.62,11,N
LPtest0004,Female,No,0,Not Graduate,Private,4295,0,281388.0,360,0.0,Urban,662,Selangor,No,No,Apartment,85,Conventional,4.64,68.28,1691.62,11,N
LPtest0005,Male,No,0,Graduate,Private,6087,0,284283.0,360,1.0,Urban,719,Kuala Lumpur,No,No,Condominium,90,Conventional,4.49,57.4,2951.08,15,Y
LPtest0006,Male,Yes,2,Not Graduate,Private,2000,1500,226120.0,360,1.0,Semiurban,655,Melaka,Yes,No,Terrace,90,Conventional,4.52,74.88,1160.14,3,N
LPtest0007,Female,Yes,1,Graduate,Private,2509,1913,225000.0,360,0.0,Rural,627,Penang,Yes,No,Condominium,90,Conventional,4.23,79.54,1222.68,3,N
LPtest0008,Male,Yes,0,Graduate,Private,3207,3184,289706.0,360,1.0,Semiurban,681,Pahang,Yes,No,Condominium,90,Islamic,4.5,51.01,3493.9,8,Y
LPtest0009,Female,Yes,2,Graduate,Private,6837,2837,707985.0,360,1.0,Rural,656,Negeri Sembilan,Yes,No,Condominium,90,Islamic,4.6,78.23,2951.8,14,N
LPtest0010,Male,No,0,Graduate,Private,5375,0,225000.0,360,0.0,Urban,607,Johor,No,No,Bungalow,90,Islamic,4.14,48.48,3098.89,9,N
LPtest0011,Male,No,1,Graduate,Private,5484,0,225000.0,360,1.0,Urban,651,Penang,Yes,No,Terrace,90,Conventional,4.35,58.27,2590.78,8,Y
LPtest0012,Female,Yes,2,Graduate,Private,3389,0,225000.0,360,1.0,Urban,651,Selangor,Yes,No,Terrace,90,Islamic,4.75,75.26,1086.96,4,N
LPtest0013,Male,Yes,1,Graduate,Private,8541,5955,598545.0,360,0.0,Urban,615,Perak,Yes,No,Apartment,90,Conventional,4.37,73.89,4580.88,8,N
LPtest0014,Male,Yes,2,Graduate,Private,3583,1633,257328.0,360,1.0,Rural,716,Johor,Yes,No,Terrace,90,Islamic,4.43,78.76,1440.98,1,N
LPtest0015,Male,No,0,Graduate,Private,3888,0,250791.0,360,0.0,Rural,593,Selangor,Yes,No,Condominium,90,Conventional,4.39,78.28,1175.22,15,N
LPtest0016,Female,Yes,1,Graduate,Private,4243,3596,257926.0,360,1.0,Urban,713,Selangor,Yes,No,Terrace,90,Islamic,4.49,43.8,4730.73,5,Y
LPtest0017,Female,No,0,Graduate,Private,6471,0,376356.0,360,1.0,Semiurban,675,Penang,Yes,No,Condominium,80,Conventional,4.56,57.0,3241.23,14,Y
LPtest0018,Male,Yes,1,Graduate,Private,2181,1500,225000.0,360,1.0,Rural,663,Selangor,Yes,No,Semi-D,90,Islamic,4.7,73.8,1219.74,3,Y
LPtest0019,Male,No,2,Graduate,Private,7964,0,576803.0,360,1.0,Urban,727,Melaka,Yes,No,Semi-D,90,Islamic,4.4,66.07,3459.69,11,Y
LPtest0020,Female,Yes,3+,Graduate,Private,2533,1937,361809.0,360,1.0,Urban,669,Kuala Lumpur,Yes,No,Condominium,90,Islamic,4.27,74.24,1654.03,6,N
LPtest0021,Male,Yes,0,Not Graduate,Private,2000,1644,260596.0,360,1.0,Semiurban,782,Negeri Sembilan,Yes,No,Condominium,85,Islamic,4.67,60.54,1738.3,1,Y
LPtest0022,Female,No,1,Graduate,Private,8462,0,284981.0,360,0.0,Urban,632,Penang,Yes,No,Apartment,90,Conventional,4.33,67.22,3160.04,13,N
LPtest0023,Male,Yes,0,Not Graduate,Private,2506,1920,225000.0,360,1.0,Semiurban,778,Selangor,Yes,No,Condominium,90,Conventional,4.34,57.86,2168.5,5,Y
LPtest0024,Male,No,1,Graduate,Private,6062,0,431912.0,360,1.0,Rural,685,Kuala Lumpur,Yes,No,Terrace,90,Conventional,4.57,75.96,1980.79,15,N
LPtest0025,Female,No,0,Graduate,Private,4377,0,225000.0,360,0.0,Urban,604,Kuala Lumpur,Yes,No,Semi-D,90,Conventional,4.37,74.94,1396.5,12,N
LPtest0026,Male,No,0,Graduate,Private,7018,0,394807.0,360,1.0,Semiurban,808,Penang,No,No,Townhouse,90,Conventional,4.46,61.43,3211.06,10,Y
LPtest0027,Male,Yes,3+,Graduate,Private,3620,0,225000.0,360,1.0,Urban,780,Selangor,Yes,No,Bungalow,90,Conventional,4.69,50.74,2039.69,4,N
LPtest0028,Male,Yes,3+,Graduate,Private,3120,1781,364804.0,360,1.0,Urban,728,Melaka,No,No,Condominium,90,Conventional,4.66,87.93,1014.35,1,N
LPtest0029,Female,No,1,Graduate,Private,9676,0,747477.0,360,1.0,Semiurban,697,Selangor,Yes,No,Apartment,90,Conventional,4.73,91.14,1691.93,12,N
LPtest0030,Male,No,0,Graduate,Private,9754,0,465540.0,360,0.0,Semiurban,490,Selangor,Yes,No,Semi-D,85,Conventional,4.16,54.69,5096.12,12,N
LPtest0031,Female,Yes,1,Graduate,Private,5886,4222,319373.0,360,1.0,Rural,676,Kuala Lumpur,Yes,No,Bungalow,85,Islamic,4.5,54.28,5021.79,7,Y
LPtest0032,Female,Yes,0,Graduate,Private,5036,0,380215.0,360,0.0,Rural,540,Melaka,Yes,No,Townhouse,90,Islamic,4.69,95.31,669.9,8,N
LPtest0033,Male,No,0,Graduate,Private,4587,0,242521.0,360,1.0,Semiurban,728,Kedah,No,No,Terrace,90,Conventional,4.33,76.26,1417.63,8,N
LPtest0034,Male,Yes,1,Not Graduate,Private,4518,0,225000.0,360,1.0,Rural,658,Johor,No,No,Condominium,90,Conventional,4.27,76.65,1367.41,6,N
LPtest0035,Female,No,2,Graduate,Private,4315,0,212500.0,360,0.0,Rural,659,Perak,Yes,No,Bungalow,85,Islamic,4.78,54.37,2199.72,10,N
LPtest0036,Male,Yes,1,Graduate,Private,8422,6449,1121217.0,360,1.0,Urban,657,Penang,No,No,Bungalow,90,Conventional,4.13,83.64,4082.83,13,N
LPtest0037,Male,No,1,Not Graduate,Private,4257,0,300520.0,360,1.0,Semiurban,707,Johor,Yes,No,Bungalow,90,Conventional,4.61,93.58,630.2,11,N
LPtest0038,Female,Yes,1,Not Graduate,Private,3075,1720,302908.0,360,1.0,Semiurban,673,Kuala Lumpur,No,No,Semi-D,90,Conventional,4.34,74.76,1618.81,2,Y
LPtest0039,Male,Yes,1,Graduate,Private,5423,2208,531826.0,360,1.0,Urban,723,Perak,Yes,No,Apartment,90,Conventional,4.44,87.84,1613.78,12,N
LPtest0040,Female,No,0,Graduate,Private,6596,0,464055.0,360,1.0,Semiurban,700,Johor,Yes,No,Condominium,90,Islamic,4.28,68.09,2747.02,12,Y
LPtest0041,Male,No,2,Graduate,Private,5126,0,294467.0,360,0.0,Rural,586,Perak,No,No,Terrace,80,Islamic,4.68,65.2,2121.55,10,N
LPtest0042,Female,Yes,1,Graduate,Private,5641,3562,439482.0,360,0.0,Rural,635,Selangor,No,No,Bungalow,90,Islamic,4.34,79.15,2511.55,13,N
LPtest0043,Male,Yes,3+,Graduate,Private,5240,0,212500.0,360,1.0,Urban,732,Johor,Yes,No,Apartment,85,Conventional,4.52,69.35,1869.72,10,N
LPtest0044,Female,Yes,0,Graduate,Private,10741,7893,816082.0,360,0.6921212121212121,Rural,720,Johor,Yes,No,Semi-D,90,Islamic,4.21,52.9,9940.0,12,N
LPtest0045,Male,No,1,Graduate,Private,5965,0,368604.0,360,0.0,Urban,546,Kuala Lumpur,Yes,No,Townhouse,80,Islamic,4.65,77.81,1752.8,12,N
LPtest0046,Female,Yes,2,Graduate,Private,3373,2401,474300.0,360,1.0,Rural,850,Johor,Yes,No,Apartment,90,Islamic,4.43,68.0,2461.91,3,Y
LPtest0047,Female,No,0,Graduate,Private,2642,0,225000.0,360,1.0,Rural,724,Selangor,Yes,No,Bungalow,90,Conventional,4.77,103.82,144.92,1,N
LPtest0048,Female,Yes,2,Not Graduate,Private,3018,1500,261052.0,360,1.0,Urban,791,Johor,Yes,No,Bungalow,90,Islamic,4.32,48.61,2676.74,7,Y
LPtest0049,Female,Yes,0,Graduate,Private,5388,4624,770383.0,360,0.0,Rural,627,Penang,Yes,No,Bungalow,90,Islamic,4.71,82.49,2621.88,6,N
LPtest0050,Male,No,0,Graduate,Private,10662,0,624519.0,360,0.0,Rural,587,Selangor,Yes,No,Condominium,90,Islamic,4.54,81.0,2793.71,15,N
LPtest0051,Female,Yes,1,Graduate,Private,4054,4613,610956.0,360,0.0,Rural,620,Selangor,Yes,No,Townhouse,90,Islamic,4.44,78.72,2631.9,3,N
LPtest0052,Male,No,0,Graduate,Private,5653,0,264714.0,360,1.0,Rural,707,Negeri Sembilan,Yes,No,Bungalow,90,Conventional,4.61,74.72,1743.5,14,Y
LPtest0053,Female,No,1,Graduate,Private,3697,0,225000.0,360,0.0,Rural,575,Melaka,Yes,No,Townhouse,90,Islamic,4.7,70.79,1335.07,6,N
LPtest0054,Female,Yes,1,Graduate,Private,5614,0,200000.0,360,0.0,Semiurban,615,Selangor,Yes,No,Semi-D,80,Conventional,4.11,46.84,3280.86,10,N
LPtest0055,Female,Yes,2,Not Graduate,Private,4725,2438,448165.0,360,1.0,Semiurban,823,Perak,No,No,Condominium,85,Islamic,4.44,60.37,3416.8,14,Y
LPtest0056,Female,Yes,3+,Graduate,Private,4822,3064,383031.0,360,1.0,Rural,765,Selangor,Yes,No,Townhouse,90,Islamic,4.33,41.82,5106.62,12,Y
LPtest0057,Male,Yes,1,Graduate,Private,4631,3452,660321.0,360,1.0,Semiurban,804,Kedah,Yes,No,Townhouse,90,Islamic,4.42,66.71,3549.69,14,N
LPtest0058,Male,No,0,Not Graduate,Private,2160,0,225000.0,360,1.0,Semiurban,714,Kuala Lumpur,Yes,No,Semi-D,90,Conventional,4.31,115.82,-34.38,10,N
